

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          02/09/2015    Temperatura máxima (ºC)                   26,4
      1          03/09/2015    Temperatura máxima (ºC)                   26,1
      1          04/09/2015    Temperatura máxima (ºC)                   27,3
      1          05/09/2015    Temperatura máxima (ºC)                   29,6
      1          06/09/2015    Temperatura máxima (ºC)                   32,5
      1          07/09/2015    Temperatura máxima (ºC)                   33,3
      1          08/09/2015    Temperatura máxima (ºC)                   31,6
      1          09/09/2015    Temperatura máxima (ºC)                   24,6
      1          10/09/2015    Temperatura máxima (ºC)                   27,1
      1          11/09/2015    Temperatura máxima (ºC)                   25,7
      1          12/09/2015    Temperatura máxima (ºC)                   26,4
      1          13/09/2015    Temperatura máxima (ºC)                   21
      1          14/09/2015    Temperatura máxima (ºC)                   20,8
      1          15/09/2015    Temperatura máxima (ºC)                   20,7
      1          16/09/2015    Temperatura máxima (ºC)                   19,1
      1          17/09/2015    Temperatura máxima (ºC)                   21,2
      1          18/09/2015    Temperatura máxima (ºC)                   23
      1          19/09/2015    Temperatura máxima (ºC)                   28,8
      1          20/09/2015    Temperatura máxima (ºC)                   30
      1          21/09/2015    Temperatura máxima (ºC)                   28
      1          22/09/2015    Temperatura máxima (ºC)                   21,6
      1          23/09/2015    Temperatura máxima (ºC)                   26,9
      1          24/09/2015    Temperatura máxima (ºC)                   31,2
      1          25/09/2015    Temperatura máxima (ºC)                   31,3
      1          26/09/2015    Temperatura máxima (ºC)                   30,5
      1          27/09/2015    Temperatura máxima (ºC)                   28,5
      1          28/09/2015    Temperatura máxima (ºC)                   30,2
      1          29/09/2015    Temperatura máxima (ºC)                   26,9
      1          30/09/2015    Temperatura máxima (ºC)                   23,1
      1          01/10/2015    Temperatura máxima (ºC)                   26,2
      1          02/10/2015    Temperatura máxima (ºC)                   23,7
      1          03/10/2015    Temperatura máxima (ºC)                   22,5
      1          04/10/2015    Temperatura máxima (ºC)                   24,6
      1          05/10/2015    Temperatura máxima (ºC)                   23
      1          06/10/2015    Temperatura máxima (ºC)                   17,9
      1          07/10/2015    Temperatura máxima (ºC)                   20,2
      1          08/10/2015    Temperatura máxima (ºC)                   22,7
      1          09/10/2015    Temperatura máxima (ºC)                   24,8
      1          10/10/2015    Temperatura máxima (ºC)                   19,8
      1          11/10/2015    Temperatura máxima (ºC)                   22,1
      1          12/10/2015    Temperatura máxima (ºC)                   21,6
      1          13/10/2015    Temperatura máxima (ºC)                   23,6
      1          14/10/2015    Temperatura máxima (ºC)                   22
      1          15/10/2015    Temperatura máxima (ºC)                   22,2
      1          16/10/2015    Temperatura máxima (ºC)                   20,1
      1          17/10/2015    Temperatura máxima (ºC)                   27,9
      1          18/10/2015    Temperatura máxima (ºC)                   17,4
      1          19/10/2015    Temperatura máxima (ºC)                   20,1
      1          20/10/2015    Temperatura máxima (ºC)                   21,2
      1          21/10/2015    Temperatura máxima (ºC)                   20,6
      1          22/10/2015    Temperatura máxima (ºC)                   23,5
      1          01/04/2015    Temperatura mínima (ºC)                   5,2
      1          02/04/2015    Temperatura mínima (ºC)                   4,8
      1          03/04/2015    Temperatura mínima (ºC)                   7,7
      1          04/04/2015    Temperatura mínima (ºC)                   4,3
      1          05/04/2015    Temperatura mínima (ºC)                   4,7
      1          06/04/2015    Temperatura mínima (ºC)                   6,1
      1          07/04/2015    Temperatura mínima (ºC)                   5,1
      1          08/04/2015    Temperatura mínima (ºC)                   5,3
      1          09/04/2015    Temperatura mínima (ºC)                   10,5
      1          10/04/2015    Temperatura mínima (ºC)                   8,8
      1          11/04/2015    Temperatura mínima (ºC)                   5,7
      1          12/04/2015    Temperatura mínima (ºC)                   5,4
      1          13/04/2015    Temperatura mínima (ºC)                   7
      1          14/04/2015    Temperatura mínima (ºC)                   7,6
      1          15/04/2015    Temperatura mínima (ºC)                   10,6
      1          16/04/2015    Temperatura mínima (ºC)                   10
      1          17/04/2015    Temperatura mínima (ºC)                   9
      1          18/04/2015    Temperatura mínima (ºC)                   8
      1          19/04/2015    Temperatura mínima (ºC)                   7,7
      1          20/04/2015    Temperatura mínima (ºC)                   4,3
      1          21/04/2015    Temperatura mínima (ºC)                   6,9
      1          22/04/2015    Temperatura mínima (ºC)                   6,8
      1          23/04/2015    Temperatura mínima (ºC)                   4,9
      1          24/04/2015    Temperatura mínima (ºC)                   11,2
      1          25/04/2015    Temperatura mínima (ºC)                   11,6
      1          26/04/2015    Temperatura mínima (ºC)                   10,8
      1          27/04/2015    Temperatura mínima (ºC)                   8,7
      1          28/04/2015    Temperatura mínima (ºC)                   7
